Tabela,Coluna,Tipo de Dado,Aceita Null?,Valor Padrão
inscricoes_publicas,status_analise,text,YES,'pendente'::text
inscricoes_publicas,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
lideres_celula,id,uuid,NO,gen_random_uuid()
lideres_celula,celula_id,uuid,YES,null
lideres_celula,pessoa_id,uuid,YES,null
lideres_celula,tipo_lideranca,character varying,YES,'lider'::character varying
lideres_celula,created_at,timestamp with time zone,YES,now()
logs_financeiros,id,uuid,NO,gen_random_uuid()
logs_financeiros,usuario_email,text,NO,null
logs_financeiros,acao,text,NO,null
logs_financeiros,detalhes,text,YES,null
logs_financeiros,created_at,timestamp without time zone,YES,now()
ministerio_funcoes,id,uuid,NO,gen_random_uuid()
ministerio_funcoes,ministerio_id,uuid,YES,null
ministerio_funcoes,nome,text,NO,null
ministerio_funcoes,ativo,boolean,YES,true
ministerio_funcoes,created_at,timestamp with time zone,YES,now()
ministerio_funcoes,cor,text,YES,'#2563eb'::text
ministerio_funcoes,ordem,text,YES,null
ministerio_membros,id,uuid,NO,gen_random_uuid()
ministerio_membros,ministerio_id,uuid,YES,null
ministerio_membros,pessoa_id,uuid,YES,null
ministerio_membros,funcao,text,YES,null
ministerio_membros,lider,boolean,YES,false
ministerio_membros,ativo,boolean,YES,true
ministerio_membros,created_at,timestamp without time zone,YES,now()
ministerios,id,uuid,NO,gen_random_uuid()
ministerios,nome,text,NO,null
ministerios,descricao,text,YES,null
ministerios,cor_principal,text,YES,'#1e3a8a'::text
ministerios,cor_secundaria,text,YES,'#3b82f6'::text
ministerios,icone,text,YES,null
ministerios,ativo,boolean,YES,true
ministerios,created_at,timestamp without time zone,YES,now()
ministerios,ordem,integer,YES,0
ministerios,fardamentos,jsonb,YES,'[]'::jsonb
mural_avisos,id,uuid,NO,gen_random_uuid()
mural_avisos,titulo,text,NO,null
mural_avisos,subtitulo,text,YES,null
mural_avisos,imagem_url,text,YES,null
mural_avisos,conteudo_html,text,YES,null
mural_avisos,prioridade,integer,YES,0
mural_avisos,ativo,boolean,YES,true
